"SITE","TIME","TEMP_mean","TEMP_sd","TEMP_se","SALINITY_mean","SALINITY_sd","SALINITY_se","DO_mean","DO_sd","DO_se","pH_mean","pH_sd","pH_se","TURBIDITY_mean","TURBIDITY_sd","TURBIDITY_se"
"BB","1",28.539,0.0282842712474638,0.0200000000000013,36.155,0.0212132034355972,0.0150000000000006,6.645,0.176776695296637,0.125,8.065,0.0919238815542517,0.0650000000000004,15.085,21.2909851815269,15.055
"BB","2",28.6055,0.146371103705616,0.1035,35.82,0,0,7,0.0707106781186545,0.0499999999999998,8.08,0,0,-0.03,0.0424264068711929,0.03
"BB","3",30.5065,0.0700035713374683,0.0495000000000001,35.52,0,0,6.77,0.0424264068711926,0.0299999999999998,7.885,0.00707106781186532,0.00499999999999989,3.885,4.98510280736516,3.525
"BB","5",29.384,0.11455129855222,0.0809999999999995,34.68,0.0141421356237281,0.00999999999999801,6.915,0.0777817459305198,0.0549999999999997,8.1,0.0141421356237306,0.00999999999999979,1.215,0.0919238815542513,0.065
"FB","1",28.6115,0.0332340187157682,0.0235000000000003,36.105,0.0777817459305198,0.0549999999999997,6.375,0.0636396103067892,0.0449999999999999,8.045,0.0353553390593279,0.0250000000000004,0.12,0.0989949493661166,0.07
"FB","3",30.071,0.130107647738325,0.0920000000000005,35.5,0.0707106781186507,0.0499999999999972,6.16,0.0141421356237306,0.00999999999999979,7.805,0.0353553390593273,0.0249999999999999,0.25,0,0
"LB","1",28.5185,0.0403050865276347,0.0285000000000011,36.045,0.0636396103067917,0.0450000000000017,6.375,0.106066017177982,0.0750000000000002,7.985,0.0777817459305198,0.0549999999999997,0.445,0.275771644662754,0.195
"LB","2",28.565,0.230516810666815,0.163,35.75,0.0707106781186507,0.0499999999999972,6.66,0.197989898732233,0.14,8.065,0.00707106781186532,0.00499999999999989,0.005,0.00707106781186548,0.005
"LB","3",29.3865,0.0799030662740821,0.0565000000000015,35.11,0.15556349186104,0.109999999999999,6.09,0.127279220613578,0.0899999999999999,7.895,0.0212132034355966,0.0150000000000001,0.455,0.0636396103067893,0.045
"LB","4",29.652,0.0296984848098336,0.020999999999999,34.22,0.0141421356237281,0.00999999999999801,6,0.0707106781186545,0.0499999999999998,7.995,0.021213203435596,0.0149999999999997,8.365,10.7550941418474,7.605
"LB","5",29.2785,0.0219203102167821,0.0154999999999994,34.66,0.0424264068711894,0.0299999999999976,6.32,0.212132034355964,0.15,8.005,0.021213203435596,0.0149999999999997,1.295,0.120208152801713,0.085
